from,to,line
F07N,F06N,F
F07S,G08S,F
F14N,D21N,F
F14S,F15S,F
F15N,F14N,F
F15S,F16S,F
F16N,F15N,F
F16S,F18S,F
F18N,F16N,F
F18S,A41S,F
F20N,A41N,F
F20S,F21S,F
F21N,F20N,F
F21S,F22S,F
F22N,F21N,F
F22S,F23S,F
F23N,F22N,F
F23S,F24S,F
F24N,F23N,F
F24S,F25S,F
F25N,F24N,F
F25S,F26S,F
F26N,F25N,F
F26S,F27S,F
F27N,F26N,F
F27S,F29S,F
F29N,F27N,F
F29S,F30S,F
F30N,F29N,F
F30S,F31S,F
F31N,F30N,F
F31S,F32S,F
F32N,F31N,F
F32S,F33S,F
F33N,F32N,F
F33S,F34S,F
F34N,F33N,F
F34S,F35S,F
F35N,F34N,F
F35S,F36S,F
F36N,F35N,F
F36S,F38S,F
F38N,F36N,F
F38S,F39S,F
F39N,F38N,F
F39S,D42S,F
G08N,F07N,F
G08S,G14S,F
G14N,G08N,F
G14S,B04S,F
A42N,G36N,G
A42S,F20S,G
F20N,A42N,G
F20S,F21S,G
F21N,F20N,G
F21S,F22S,G
F22N,F21N,G
F22S,F23S,G
F23N,F22N,G
F23S,F24S,G
F24N,F23N,G
F24S,F25S,G
F25N,F24N,G
F25S,F26S,G
F26N,F25N,G
F26S,F27S,G
F27N,F26N,G
G22S,G24S,G
G24N,G22N,G
G24S,G26S,G
G26N,G24N,G
G26S,G28S,G
G28N,G26N,G
G28S,G29S,G
G29N,G28N,G
G29S,G30S,G
G30N,G29N,G
G30S,G31S,G
G31N,G30N,G
G31S,G32S,G
G32N,G31N,G
G32S,G33S,G
G33N,G32N,G
G33S,G34S,G
G34N,G33N,G
G34S,G35S,G
G35N,G34N,G
G35S,G36S,G
G36N,G35N,G
G36S,A42S,G
H04S,H12S,H
H12N,H04N,H
H12S,H13S,H
H13N,H12N,H
H13S,H14S,H
H14N,H13N,H
H14S,H15S,H
H15N,H14N,H
G05S,G06S,J
G06N,G05N,J
G06S,J12S,J
J12N,G06N,J
J12S,J13S,J
J13N,J12N,J
J13S,J14S,J
J14N,J13N,J
J14S,J15S,J
J15N,J14N,J
J15S,J16S,J
J16N,J15N,J
J16S,J17S,J
J17N,J16N,J
J17S,J19S,J
J19N,J17N,J
J19S,J20S,J
J20N,J19N,J
J20S,J21S,J
J21N,J20N,J
J21S,J22S,J
J22N,J21N,J
J22S,J23S,J
J23N,J22N,J
J23S,J24S,J
J24N,J23N,J
J24S,J27S,J
J27N,J24N,J
J27S,J28S,J
J28N,J27N,J
J28S,J29S,J
J29N,J28N,J
J29S,J30S,J
J30N,J29N,J
J30S,J31S,J
J31N,J30N,J
J31S,M11S,J
M11N,J31N,J
M11S,M12S,J
M11S,M16S,J
M12N,M11N,J
M12S,M13S,J
M13N,M12N,J
M13S,M14S,J
M14N,M13N,J
M14S,M16S,J
M16N,M11N,J
M16N,M14N,J
M16S,M18S,J
M18N,M16N,J
M18S,M19S,J
M19N,M18N,J
M19S,M20S,J
M20N,M19N,J
M20S,M21S,J
M21N,M20N,J
M21S,M22S,J
M22N,M21N,J
M22S,M23S,J
