STATION,route_id,hour,crowd
104 ST,Z,19,14.0
104 ST,Z,20,7.0
104 ST,Z,21,0.0
104 ST,Z,22,0.0
104 ST,Z,23,0.0
110 ST,4,0,0.0
110 ST,4,1,0.0
110 ST,4,2,12.0
110 ST,4,3,0.0
110 ST,4,4,0.0
110 ST,4,5,0.0
110 ST,4,6,0.0
110 ST,4,7,0.0
110 ST,4,8,0.0
110 ST,4,9,0.0
110 ST,4,10,0.0
110 ST,4,11,0.0
110 ST,4,12,0.0
110 ST,4,13,0.0
110 ST,4,14,0.0
110 ST,4,15,0.0
110 ST,4,16,0.0
110 ST,4,17,0.0
110 ST,4,18,0.0
110 ST,4,19,0.0
110 ST,4,20,0.0
110 ST,4,21,0.0
110 ST,4,22,0.0
110 ST,4,23,0.0
110 ST,5,0,0.0
110 ST,5,1,0.0
110 ST,5,2,0.0
110 ST,5,3,0.0
110 ST,5,4,0.0
110 ST,5,5,0.0
110 ST,5,6,0.0
110 ST,5,7,0.0
110 ST,5,8,0.0
110 ST,5,9,0.0
110 ST,5,10,0.0
110 ST,5,11,0.0
110 ST,5,12,0.0
110 ST,5,13,0.0
110 ST,5,14,0.0
110 ST,5,15,0.0
110 ST,5,16,0.0
110 ST,5,17,0.0
110 ST,5,18,0.0
110 ST,5,19,0.0
110 ST,5,20,0.0
110 ST,5,21,0.0
110 ST,5,22,0.0
110 ST,5,23,0.0
110 ST,6,0,0.0
110 ST,6,1,0.0
110 ST,6,2,0.0
110 ST,6,3,0.0
110 ST,6,4,0.0
110 ST,6,5,0.0
110 ST,6,6,0.0
110 ST,6,7,0.0
110 ST,6,8,0.0
110 ST,6,9,0.0
110 ST,6,10,0.0
110 ST,6,11,0.0
110 ST,6,12,0.0
110 ST,6,13,0.0
110 ST,6,14,0.0
110 ST,6,15,0.0
110 ST,6,16,0.0
110 ST,6,17,0.0
110 ST,6,18,0.0
110 ST,6,19,0.0
110 ST,6,20,0.0
110 ST,6,21,0.0
110 ST,6,22,0.0
110 ST,6,23,0.0
110 ST,6X,0,0.0
110 ST,6X,1,0.0
110 ST,6X,2,0.0
110 ST,6X,3,0.0
110 ST,6X,4,0.0
110 ST,6X,5,0.0
110 ST,6X,6,0.0
110 ST,6X,7,0.0
110 ST,6X,8,0.0
110 ST,6X,9,0.0
110 ST,6X,10,0.0
110 ST,6X,11,0.0
110 ST,6X,12,0.0
110 ST,6X,13,0.0
110 ST,6X,14,0.0
110 ST,6X,15,0.0
110 ST,6X,16,0.0
110 ST,6X,17,0.0
110 ST,6X,18,0.0
110 ST,6X,19,0.0
110 ST,6X,20,0.0
110 ST,6X,21,0.0
110 ST,6X,22,0.0
110 ST,6X,23,0.0
111 ST,7,0,1.0
111 ST,7,1,1.0
111 ST,7,2,9.0
111 ST,7,3,52.0
111 ST,7,4,120.0
111 ST,7,5,164.0
111 ST,7,6,170.0
111 ST,7,7,176.0
111 ST,7,8,183.0
111 ST,7,9,189.0
111 ST,7,10,44.0
111 ST,7,11,19.0
111 ST,7,12,12.0
111 ST,7,13,12.0
111 ST,7,14,18.0
111 ST,7,15,28.0
111 ST,7,16,18.0
111 ST,7,17,21.0
111 ST,7,18,28.0
111 ST,7,19,23.0
111 ST,7,20,12.0
111 ST,7,21,8.0
111 ST,7,22,4.0
111 ST,7,23,2.0
111 ST,A,0,0.0
111 ST,A,1,1.0
111 ST,A,2,0.0
111 ST,A,3,0.0
111 ST,A,4,5.0
111 ST,A,5,0.0
111 ST,A,6,32.0
111 ST,A,7,64.0
111 ST,A,8,95.0
111 ST,A,9,127.0
111 ST,A,10,2.0
111 ST,A,11,3.0
111 ST,A,12,3.0
111 ST,A,13,5.0
111 ST,A,14,4.0
111 ST,A,15,3.0
111 ST,A,16,5.0
111 ST,A,17,0.0
111 ST,A,18,0.0
111 ST,A,19,0.0
111 ST,A,20,0.0
111 ST,A,21,3.0
111 ST,A,22,0.0
111 ST,A,23,1.0
111 ST,J,0,1.0
111 ST,J,1,1.0
111 ST,J,2,1.0
111 ST,J,3,7.0
111 ST,J,4,22.0
111 ST,J,5,65.0
111 ST,J,6,163.0
111 ST,J,7,261.0
111 ST,J,8,359.0
111 ST,J,9,457.0
111 ST,J,10,37.0
111 ST,J,11,17.0
111 ST,J,12,17.0
111 ST,J,13,17.0
111 ST,J,14,30.0
111 ST,J,15,42.0
111 ST,J,16,10.0
111 ST,J,17,13.0
111 ST,J,18,31.0
111 ST,J,19,9.0
111 ST,J,20,7.0
111 ST,J,21,4.0
111 ST,J,22,2.0
111 ST,J,23,2.0
116 ST,2,0,0.0
116 ST,2,1,1.0
116 ST,2,2,1.0
116 ST,2,3,1.0
116 ST,2,4,8.0
116 ST,2,5,0.0
116 ST,2,6,48.0
116 ST,2,7,95.0
116 ST,2,8,142.0
116 ST,2,9,190.0
116 ST,2,10,31.0
116 ST,2,11,3.0
116 ST,2,12,2.0
116 ST,2,13,3.0
116 ST,2,14,7.0
116 ST,2,15,52.0
116 ST,2,16,12.0
116 ST,2,17,9.0
116 ST,2,18,5.0
116 ST,2,19,3.0
116 ST,2,20,1.0
116 ST,2,21,1.0
116 ST,2,22,1.0
116 ST,2,23,1.0
116 ST,3,0,1.0
116 ST,3,1,0.0
116 ST,3,2,0.0
116 ST,3,3,0.0
116 ST,3,4,3.0
116 ST,3,5,6.0
116 ST,3,6,10.0
116 ST,3,7,13.0
116 ST,3,8,16.0
116 ST,3,9,19.0
116 ST,3,10,13.0
116 ST,3,11,3.0
116 ST,3,12,2.0
116 ST,3,13,3.0
116 ST,3,14,1.0
116 ST,3,15,8.0
116 ST,3,16,3.0
116 ST,3,17,4.0
116 ST,3,18,2.0
116 ST,3,19,2.0
116 ST,3,20,1.0
116 ST,3,21,1.0
116 ST,3,22,1.0
116 ST,3,23,1.0
116 ST,4,0,0.0
116 ST,4,1,0.0
116 ST,4,2,14.0
116 ST,4,3,0.0
116 ST,4,4,0.0
116 ST,4,5,0.0
116 ST,4,6,0.0
116 ST,4,7,0.0
116 ST,4,8,0.0
116 ST,4,9,0.0
116 ST,4,10,0.0
116 ST,4,11,0.0
116 ST,4,12,0.0
116 ST,4,13,0.0
116 ST,4,14,0.0
116 ST,4,15,0.0
116 ST,4,16,0.0
116 ST,4,17,0.0
116 ST,4,18,0.0
116 ST,4,19,0.0
116 ST,4,20,0.0
116 ST,4,21,0.0
116 ST,4,22,0.0
116 ST,4,23,0.0
116 ST,5,0,0.0
116 ST,5,1,0.0
116 ST,5,2,0.0
116 ST,5,3,0.0
116 ST,5,4,0.0
116 ST,5,5,0.0
116 ST,5,6,0.0
116 ST,5,7,0.0
116 ST,5,8,0.0
116 ST,5,9,0.0
116 ST,5,10,0.0
116 ST,5,11,0.0
116 ST,5,12,0.0
116 ST,5,13,0.0
116 ST,5,14,0.0
116 ST,5,15,0.0
116 ST,5,16,0.0
116 ST,5,17,0.0
116 ST,5,18,0.0
116 ST,5,19,0.0
116 ST,5,20,0.0
116 ST,5,21,0.0
116 ST,5,22,0.0
116 ST,5,23,0.0
116 ST,6,0,0.0
116 ST,6,1,0.0
116 ST,6,2,0.0
116 ST,6,3,0.0
116 ST,6,4,0.0
116 ST,6,5,0.0
116 ST,6,6,0.0
116 ST,6,7,0.0
116 ST,6,8,0.0
