stop_id,order,route_id,station,id
603S,3,6,Middletown Rd,MIDDLETOWN RD
604S,4,6,Westchester Sq - E Tremont Av,WESTCHESTER SQ
606S,5,6,Zerega Av,ZEREGA AV
607S,6,6,Castle Hill Av,CASTLE HILL AV
608S,7,6,Parkchester,PARKCHESTER
609S,8,6,St Lawrence Av,ST LAWRENCE AV
610S,9,6,Morrison Av- Sound View,MORISN AV/SNDVW
611S,10,6,Elder Av,ELDER AV
612S,11,6,Whitlock Av,WHITLOCK AV
613S,12,6,Hunts Point Av,HUNTS POINT AV
614S,13,6,Longwood Av,LONGWOOD AV
615S,14,6,E 149 St,E 149 ST
616S,15,6,E 143 St - St Mary's St,E 143/ST MARY'S
617S,16,6,Cypress Av,CYPRESS AV
618S,17,6,Brook Av,BROOK AV
619S,18,6,3 Av - 138 St,3 AV 138 ST
621S,19,6,125 St,125 ST
622S,20,6,116 St,116 ST
623S,21,6,110 St,110 ST
624S,22,6,103 St,103 ST
625S,23,6,96 St,96 ST
626S,24,6,86 St,86 ST
627S,25,6,77 St,77 ST
628S,26,6,68 St - Hunter College,
629S,27,6,59 St,59 ST
630S,28,6,51 St,51 ST
631S,29,6,Grand Central - 42 St,GRD CNTRL-42 ST
632S,30,6,33 St,33 ST
633S,31,6,28 St,28 ST
634S,32,6,23 St,23 ST
635S,33,6,14 St - Union Sq,14 ST-UNION SQ
636S,34,6,Astor Pl,ASTOR PL
637S,35,6,Bleecker St,BLEECKER ST
638S,36,6,Spring St,SPRING ST
639S,37,6,Canal St,CANAL ST
640S,38,6,Brooklyn Bridge - City Hall,BROOKLYN BRIDGE
601S,1,6X,Pelham Bay Park,
602S,2,6X,Buhre Av,
603S,3,6X,Middletown Rd,
604S,4,6X,Westchester Sq - E Tremont Av,
606S,5,6X,Zerega Av,
607S,6,6X,Castle Hill Av,
608S,7,6X,Parkchester,
613S,8,6X,Hunts Point Av,
619S,9,6X,3 Av - 138 St,
621S,10,6X,125 St,
622S,11,6X,116 St,
623S,12,6X,110 St,
624S,13,6X,103 St,
625S,14,6X,96 St,
626S,15,6X,86 St,
627S,16,6X,77 St,
628S,17,6X,68 St - Hunter College,
629S,18,6X,59 St,
630S,19,6X,51 St,
631S,20,6X,Grand Central - 42 St,
632S,21,6X,33 St,
633S,22,6X,28 St,
634S,23,6X,23 St,
635S,24,6X,14 St - Union Sq,
636S,25,6X,Astor Pl,
637S,26,6X,Bleecker St,
638S,27,6X,Spring St,
639S,28,6X,Canal St,
640S,29,6X,Brooklyn Bridge - City Hall,
701S,1,7,Flushing - Main St,FLUSHING-MAIN
702S,2,7,Mets - Willets Point,METS-WILLETS PT
705S,3,7,111 St,111 ST
706S,4,7,103 St - Corona Plaza,103 ST-CORONA
707S,5,7,Junction Blvd,JUNCTION BLVD
708S,6,7,90 St - Elmhurst Av,90 ST-ELMHURST
709S,7,7,82 St - Jackson Hts,82 ST-JACKSON H
710S,8,7,74 St - Broadway,74 ST-BROADWAY
711S,9,7,69 St,69 ST
712S,10,7,Woodside - 61 St,61 ST WOODSIDE
713S,11,7,52 St,52 ST
714S,12,7,46 St - Bliss St,46 ST BLISS ST
715S,13,7,40 St - Lowery St,40 ST LOWERY ST
716S,14,7,33 St - Rawson St,33 ST-RAWSON ST
718S,15,7,Queensboro Plaza,QUEENSBORO PLZ
719S,16,7,Court Sq,COURT SQ
720S,17,7,Hunters Point Av,HUNTERS PT AV
721S,18,7,Vernon Blvd - Jackson Av,VERNON-JACKSON
723S,19,7,Grand Central - 42 St,GRD CNTRL-42 ST
724S,20,7,5 Av,5 AVE
725S,21,7,Times Sq - 42 St,TIMES SQ-42 ST
726S,22,7,34 St - Hudson Yds,34 ST-HUDSON YD
701S,1,7X,Flushing - Main St,
702S,2,7X,Mets - Willets Point,
707S,3,7X,Junction Blvd,
712S,4,7X,Woodside - 61 St,
718S,5,7X,Queensboro Plaza,
719S,6,7X,Court Sq,
720S,7,7X,Hunters Point Av,
721S,8,7X,Vernon Blvd - Jackson Av,
723S,9,7X,Grand Central - 42 St,
724S,10,7X,5 Av,
725S,11,7X,Times Sq - 42 St,
726S,12,7X,34 St - Hudson Yds,
A02S,1,A,Inwood - 207 St,INWOOD-207 ST
A03S,2,A,Dyckman St,DYCKMAN ST
A05S,3,A,190 St,190 ST
A06S,4,A,181 St,181 ST
A07S,5,A,175 St,175 ST
A09S,6,A,168 St,168 ST
A12S,7,A,145 St,145 ST
A15S,8,A,125 St,125 ST
A24S,9,A,59 St - Columbus Circle,59 ST COLUMBUS
A27S,10,A,42 St - Port Authority Bus Terminal,42 ST-PORT AUTH
A28S,11,A,34 St - Penn Station,34 ST-PENN STA
A31S,12,A,14 St,
A32S,13,A,W 4 St - Wash Sq,W 4 ST-WASH SQ
A34S,14,A,Canal St,CANAL ST
A36S,15,A,Chambers St,CHAMBERS ST
A38S,16,A,Fulton St,FULTON ST
A40S,17,A,High St,HIGH ST
A41S,18,A,Jay St - MetroTech,JAY ST-METROTEC
A42S,19,A,Hoyt - Schermerhorn Sts,HOYT-SCHER
A46S,20,A,Nostrand Av,NOSTRAND AV
A48S,21,A,Utica Av,UTICA AV
A51S,22,A,Broadway Jct,BROADWAY JCT
A55S,23,A,Euclid Av,EUCLID AV
A57S,24,A,Grant Av,GRANT AV
A59S,25,A,80 St,80 ST
A60S,26,A,88 St,88 ST
A61S,27,A,Rockaway Blvd,ROCKAWAY BLVD
A63S,28,A,104 St,104 ST
H02S,28,A,Aqueduct - N Conduit Av,AQUEDUCT N.COND
A64S,29,A,111 St,111 ST
H03S,29,A,Howard Beach - JFK Airport,
A65S,30,A,Ozone Park - Lefferts Blvd,OZONE PK LEFFRT
H04S,30,A,Broad Channel,BROAD CHANNEL
H06S,31,A,Beach 67 St,BEACH 67 ST
H07S,32,A,Beach 60 St,BEACH 60 ST
H08S,33,A,Beach 44 St,BEACH 44 ST
H09S,34,A,Beach 36 St,BEACH 36 ST
H10S,35,A,Beach 25 St,BEACH 25 ST
H11S,36,A,Far Rockaway - Mott Av,FAR ROCKAWAY
D13S,1,B,145 St,145 ST
A14S,2,B,135 St,135 ST
A15S,3,B,125 St,125 ST
A16S,4,B,116 St,116 ST
A17S,5,B,Cathedral Pkwy (110 St),CATHEDRAL PKWY
A18S,6,B,103 St,103 ST
A19S,7,B,96 St,96 ST
A20S,8,B,86 St,86 ST
A21S,9,B,81 St - Museum of Natural History,81 ST-MUSEUM
A22S,10,B,72 St,72 ST
A24S,11,B,59 St - Columbus Circle,59 ST COLUMBUS
D14S,12,B,7 Av,7 AV
D15S,13,B,47-50 Sts - Rockefeller Ctr,47-50 STS ROCK
D16S,14,B,42 St - Bryant Pk,42 ST-BRYANT PK
D17S,15,B,34 St - Herald Sq,34 ST-HERALD SQ
D20S,16,B,W 4 St - Wash Sq,W 4 ST-WASH SQ
D21S,17,B,Broadway-Lafayette St,B'WAY-LAFAYETTE
D22S,18,B,Grand St,GRAND ST
R30S,19,B,DeKalb Av,DEKALB AV
D24S,20,B,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY
D25S,21,B,7 Av,7 AV
D26S,22,B,Prospect Park,PROSPECT PARK
D28S,23,B,Church Av,CHURCH AV
D31S,24,B,Newkirk Plaza,NEWKIRK PLAZA
D35S,25,B,Kings Hwy,KINGS HWY
D39S,26,B,Sheepshead Bay,SHEEPSHEAD BAY
D40S,27,B,Brighton Beach,BRIGHTON BEACH
