STATION,route_id,hour,direction_id,weekday,current_crowd,last_month_crowd,last_year_crowd
PROSPECT PARK,Q,4,1.0,0,15.0,13.0,349.0
PROSPECT PARK,Q,4,1.0,1,42.0,26.0,340.0
PROSPECT PARK,Q,5,0.0,0,73.0,47.0,150.0
PROSPECT PARK,Q,5,0.0,1,302.0,169.0,905.0
PROSPECT PARK,Q,5,1.0,0,13.0,11.0,381.0
PROSPECT PARK,Q,5,1.0,1,48.0,29.0,389.0
PROSPECT PARK,Q,6,0.0,0,65.0,51.0,172.0
PROSPECT PARK,Q,6,0.0,1,166.0,108.0,649.0
PROSPECT PARK,Q,6,1.0,0,18.0,19.0,99.0
PROSPECT PARK,Q,6,1.0,1,28.0,16.0,307.0
PROSPECT PARK,Q,7,0.0,0,67.0,33.0,186.0
PROSPECT PARK,Q,7,0.0,1,119.0,76.0,508.0
PROSPECT PARK,Q,7,1.0,0,17.0,18.0,80.0
PROSPECT PARK,Q,7,1.0,1,21.0,14.0,349.0
PROSPECT PARK,Q,8,0.0,0,58.0,35.0,207.0
PROSPECT PARK,Q,8,0.0,1,83.0,54.0,414.0
PROSPECT PARK,Q,8,1.0,0,11.0,13.0,129.0
PROSPECT PARK,Q,8,1.0,1,17.0,10.0,331.0
PROSPECT PARK,Q,9,0.0,0,55.0,29.0,236.0
PROSPECT PARK,Q,9,0.0,1,74.0,38.0,382.0
PROSPECT PARK,Q,9,1.0,0,14.0,12.0,234.0
PROSPECT PARK,Q,9,1.0,1,18.0,6.0,329.0
PROSPECT PARK,Q,10,0.0,0,49.0,26.0,240.0
PROSPECT PARK,Q,10,0.0,1,96.0,62.0,397.0
PROSPECT PARK,Q,10,1.0,0,16.0,10.0,280.0
PROSPECT PARK,Q,10,1.0,1,41.0,15.0,406.0
PROSPECT PARK,Q,11,0.0,0,42.0,24.0,223.0
PROSPECT PARK,Q,11,0.0,1,74.0,60.0,345.0
PROSPECT PARK,Q,11,1.0,0,23.0,9.0,382.0
PROSPECT PARK,Q,11,1.0,1,45.0,26.0,417.0
PROSPECT PARK,Q,12,0.0,0,40.0,25.0,202.0
PROSPECT PARK,Q,12,0.0,1,45.0,30.0,249.0
PROSPECT PARK,Q,12,1.0,0,29.0,13.0,347.0
PROSPECT PARK,Q,12,1.0,1,45.0,23.0,402.0
PROSPECT PARK,Q,13,0.0,0,31.0,22.0,179.0
PROSPECT PARK,Q,13,0.0,1,34.0,24.0,157.0
PROSPECT PARK,Q,13,1.0,0,39.0,17.0,383.0
PROSPECT PARK,Q,13,1.0,1,58.0,33.0,335.0
PROSPECT PARK,Q,14,0.0,0,19.0,17.0,153.0
PROSPECT PARK,Q,14,0.0,1,58.0,56.0,105.0
PROSPECT PARK,Q,14,1.0,0,47.0,24.0,413.0
PROSPECT PARK,Q,14,1.0,1,96.0,73.0,333.0
PROSPECT PARK,Q,15,0.0,0,15.0,11.0,123.0
PROSPECT PARK,Q,15,0.0,1,19.0,10.0,63.0
PROSPECT PARK,Q,15,1.0,0,52.0,27.0,395.0
PROSPECT PARK,Q,15,1.0,1,123.0,70.0,391.0
PROSPECT PARK,Q,16,0.0,0,11.0,9.0,95.0
PROSPECT PARK,Q,16,0.0,1,17.0,7.0,49.0
PROSPECT PARK,Q,16,1.0,0,57.0,34.0,390.0
PROSPECT PARK,Q,16,1.0,1,124.0,66.0,360.0
PROSPECT PARK,Q,17,0.0,0,9.0,8.0,68.0
PROSPECT PARK,Q,17,0.0,1,7.0,4.0,25.0
PROSPECT PARK,Q,17,1.0,0,59.0,34.0,386.0
PROSPECT PARK,Q,17,1.0,1,102.0,54.0,284.0
PROSPECT PARK,Q,18,0.0,0,6.0,6.0,40.0
PROSPECT PARK,Q,18,0.0,1,8.0,5.0,26.0
PROSPECT PARK,Q,18,1.0,0,58.0,32.0,360.0
PROSPECT PARK,Q,18,1.0,1,109.0,56.0,303.0
PROSPECT PARK,Q,19,0.0,0,11.0,6.0,43.0
PROSPECT PARK,Q,19,0.0,1,8.0,7.0,21.0
PROSPECT PARK,Q,19,1.0,0,54.0,33.0,340.0
PROSPECT PARK,Q,19,1.0,1,109.0,56.0,277.0
PROSPECT PARK,Q,20,0.0,0,7.0,4.0,28.0
PROSPECT PARK,Q,20,0.0,1,5.0,7.0,19.0
PROSPECT PARK,Q,20,1.0,0,53.0,34.0,310.0
PROSPECT PARK,Q,20,1.0,1,89.0,47.0,242.0
PROSPECT PARK,Q,21,0.0,0,6.0,4.0,20.0
PROSPECT PARK,Q,21,0.0,1,4.0,4.0,12.0
