name,id
"Spring St","SPRING ST"
"Flushing - Main St","FLUSHING-MAIN"
"Mets - Willets Point","METS-WILLETS PT"
"111 St","111 ST"
"103 St - Corona Plaza","103 ST-CORONA"
"Junction Blvd",
"90 St - Elmhurst Av","ELMHURST AV"
"82 St - Jackson Hts","82 ST-JACKSON H"
"74 St - Broadway","74 ST-BROADWAY"
"69 St","69 ST"
"Woodside - 61 St","61 ST WOODSIDE"
"52 St","52 ST"
"46 St - Bliss St","46 ST"
"40 St - 52 ST St",none
"33 St - Rawson St","33 ST-RAWSON ST"
"Queensboro Plaza","QUEENSBORO PLZ"
"Court Sq","COURT SQ"
"Hunters Point Av","HUNTERS PT AV"
"Vernon Blvd - Jackson Av","VERNON-JACKSON"
"5 Av","5 AVE"
"34 St - Hudson Yds","34 ST-HUDSON YD"
"Inwood - 207 St","INWOOD-207 ST"
"190 St","190 ST"
"175 St","175 ST"
"168 St","168 ST"
"42 St - Port Authority Bus Terminal","42 ST-PORT AUTH"
"W 4 St - Wash Sq","W 4 ST-WASH SQ"
"High St","HIGH ST"
"Jay St - MetroTech","JAY ST-METROTEC"
"Hoyt - Schermerhorn Sts","HOYT-SCHER"
"Utica Av","UTICA AV"
"Broadway Jct","BROADWAY"
"Euclid Av","EUCLID AV"
"Grant Av","GRANT AV"
"80 St","80 ST"
"88 St","88 ST"
"Rockaway Blvd","ROCKAWAY AV"
"104 St","104 ST"
"Ozone Park - Lefferts Blvd","OZONE PK LEFFRT"
"Aqueduct Racetrack","AQUEDUCT RACETR"
"Aqueduct - N Conduit Av","AQUEDUCT N.COND"
"Howard Beach - JFK Airport","HOWARD BCH JFK"
"Broad Channel","BROAD CHANNEL"
"Beach 67 St","BEACH 67 ST"
"Beach 60 St","BEACH 60 ST"
"Beach 44 St","BEACH 44 ST"
"Beach 36 St","BEACH 36 ST"
"Beach 25 St","BEACH 25 ST"
"Far Rockaway - Mott Av","FAR ROCKAWAY"
"81 St - Museum of Natural History","81 ST-MUSEUM"
"Bedford Park Blvd","BEDFORD PK BLVD"
"182-183 Sts","182-183 STS"
"Tremont Av","TREMONT AV"
"174-175 Sts","174-175 STS"
"155 St","155 ST"
"7 Av","7 AV"
"47-50 Sts - Rockefeller Ctr","47-50 STS ROCK"
"42 St - Bryant Pk","42 ST-BRYANT PK"
"34 St - Herald Sq","34 ST-HERALD SQ"
"Broadway-Lafayette St","B'WAY-LAFAYETTE"
"Grand St","GRAND ST"
"Prospect Park","PROSPECT PARK"
"Newkirk Plaza","NEWKIRK AV"
"Kings Hwy","KINGS HWY"
"Sheepshead Bay","SHEEPSHEAD BAY"
"Brighton Beach","BRIGHTON BEACH"
"DeKalb Av","DEKALB AV"
"163 St - Amsterdam Av","163 ST-AMSTERDM"
"Lafayette Av","LAFAYETTE AV"
"Clinton - Washington Avs","CLINTON-WASH AV"
"Kingston - Throop Avs","KINGSTON AV"
"Ralph Av","RALPH AV"
"Liberty Av","LIBERTY AV"
"Shepherd Av","SHEPHERD AV"
"9 Av","9 AV"
"Fort Hamilton Pkwy","FT HAMILTON PKY"
"55 St","55 ST"
"62 St","62 ST"
"71 St","71 ST"
"18 Av","18 AV"
"20 Av","20 AV"
"Bay Pkwy","BAY PKWY"
"25 Av","25 AV"
"Bay 50 St","BAY 50 ST"
"Norwood - 205 St","NORWOOD 205 ST"
"Coney Island - Stillwell Av","CONEY IS-STILLW"
"36 St","36 ST"
"World Trade Center","WORLD TRADE CTR"
"Briarwood","BRIARWOOD"
"Kew Gardens - Union Tpke","KEW GARDENS"
"75 Av","75 AV"
"Lexington Av/53 St","LEXINGTON AV/53"
"5 Av/53 St","5 AV/59 ST"
"Jamaica Center - Parsons/Archer","JAMAICA CENTER"
"Sutphin Blvd - Archer Av - JFK Airport","SUTPHIN-ARCHER"
"Jamaica - Van Wyck","JAMAICA VAN WK"
"Forest Hills - 71 Av","FOREST HILLS 71"
"Jackson Hts - Roosevelt Av",none
"Queens Plaza","QUEENS PLAZA"
"21 St - Queensbridge","21 ST-QNSBRIDGE"
"Roosevelt Island","ROOSEVELT ISLND"
"Lexington Av/63 St","LEXINGTON AV/63"
"57 St","57 ST"
"W 8 St - NY Aquarium","W 8 ST-AQUARIUM"
"Jamaica - 179 St","JAMAICA 179 ST"
"169 St","169 ST"
"Parsons Blvd","PARSONS BLVD"
"Sutphin Blvd","SUTPHIN BLVD"
"2 Av","2 AV"
"Delancey St - Essex St","DELANCEY/ESSEX"
"East Broadway","EAST BROADWAY"
"York St","YORK ST"
"Carroll St","CARROLL ST"
"Smith - 9 Sts","SMITH-9 ST"
"4 Av - 9 St","4 AV-9 ST"
"15 St - Prospect Park","15 ST-PROSPECT"
"Ditmas Av","DITMAS AV"
"Avenue I","Avenue I"
"Avenue N","Avenue N"
"Avenue P","Avenue P"
"Avenue U","Avenue U"
"Avenue X","Avenue X"
"Neptune Av","NEPTUNE AV"
"Court Sq - 23 St","COURT SQ-23 ST"
"21 St","21 ST"
"Greenpoint Av","GREENPOINT AV"
"Nassau Av","NASSAU AV"
"Metropolitan Av","METROPOLITAN AV"
"Broadway","BROADWAY"
"Flushing Av","FLUSHING AV"
"Myrtle - Willoughby Avs","MYRTLE-WILLOUGH"
"Bedford - Nostrand Avs","BEDFORD-NOSTRAN"
"Classon Av","CLASSON AV"
"Beach 90 St","BEACH 90 ST"
"Beach 98 St","BEACH 98 ST"
"Beach 105 St","BEACH 105 ST"
"Rockaway Park - Beach 116 St","ROCKAWAY PARK B"
"121 St","121 ST"
"Woodhaven Blvd","WOODHAVEN BLVD"
"85 St - Forest Pkwy","85 ST-FOREST PK"
"75 St - Elder Ln","75 ST-ELDERTS"
"Cypress Hills","CYPRESS HILLS"
"Crescent St","CRESCENT ST"
"Norwood Av","NORWOOD AV"
"Cleveland St","CLEVELAND ST"
"Alabama Av","ALABAMA AV"
"Chauncey St","CHAUNCEY ST"
"Halsey St","HALSEY ST"
"Gates Av","GATES AV"
"Kosciuszko St","KOSCIUSZKO ST"
"Myrtle Av","MYRTLE AV"
"Lorimer St","LORIMER ST"
"Hewes St","HEWES ST"
"Marcy Av","MARCY AV"
"Delancy St - Essex St","DELANCEY/ESSEX"
"Bowery","BOWERY"
"Broad St","BROAD ST"
"8 Av","8 AV"
"6 Av","6 AV"
"Union Sq - 14 St","14 ST-UNION SQ"
"3 Av",multi
"1 Av",multi
"Bedford Av",none
"Graham Av",none
"Montrose Av",
"Morgan Av",none
"Jefferson St",none
"Myrtle - Wyckoff Avs",none
"Wilson Av",none
"Bushwick Av - Aberdeen St",none
"Atlantic Av",none
"Sutter Av","SUTTER AV-RUTLD"
"Livonia Av",none
"E 105 St",none
"Canarsie - Rockaway Pkwy",none
"67 Av","67 AV"
"63 Dr - Rego Park","63 DR-REGO PARK"
"Grand Av - Newtown","GRAND-NEWTOWN"
"Elmhurst Av","ELMHURST AV"
"65 St","65 ST"
"Northern Blvd","NORTHERN BLVD"
"46 St","46 ST"
"Steinway St","STEINWAY ST"
"Middle Village - Metropolitan Av","METROPOLITAN AV"
"Fresh Pond Rd","FRESH POND RD"
"Forest Av","FOREST AVE"
"Seneca Av","SENECA AVE"
"Knickerbocker Av","KNICKERBOCKER"
"Central Av","CENTRAL AV"
"New Utrecht Av","NEW UTRECHT AV"
"Astoria - Ditmars Blvd","ASTORIA DITMARS"
"Astoria Blvd","ASTORIA BLVD"
"30 Av","30 AV"
"36 Av","36 AV"
"39 Av - Dutch Kills","39 AV"
"Lexington Av/59 St",none
"5 Av/59 St","5 AV/59 ST"
"57 St - 7 Av","57 ST-7 AV"
"49 St","49 ST"
"8 St - NYU","8 ST-NYU"
"Prince St","PRINCE ST"
"City Hall","CITY HALL"
"Whitehall St - South Ferry","WHITEHALL S-FRY"
"Parkside Av","PARKSIDE AV"
"Beverley Rd","BEVERLEY ROAD"
"Cortelyou Rd","CORTELYOU RD"
"Avenue H","AVENUE H"
"Avenue J","AVENUE J"
"Avenue M","AVENUE M"
"Neck Rd","NECK RD"
"Ocean Pkwy","OCEAN PKWY"
"Court St",none
"Union St","UNION ST"
"25 St","25 ST"
"45 St","45 ST"
"53 St","53 ST"
"Bay Ridge Av","BAY RIDGE AV"
"Bay Ridge - 95 St","BAY RIDGE-95 ST"
"Tottenville",none
"Arthur Kill",none
"Richmond Valley",none
"Pleasant Plains",none
"Prince's Bay",none
"Huguenot",none
"Annadale",none
"Eltingville",none
"Great Kills",none
"Bay Terrace",none
"Oakwood Heights",none
"New Dorp",none
"Grant City",none
"Jefferson Av",none
"Dongan Hills",none
"Old Town",none
"Grasmere",none
"Clifton",none
"Stapleton",none
"Tompkinsville",none
"St George",none
