stop_id,order,route_id,station,id,LINENAME,line
701S,1,7,Flushing - Main St,FLUSHING-MAIN,7,7
702S,2,7,Mets - Willets Point,METS-WILLETS PT,7,7
705S,3,7,111 St,111 ST,7,7
706S,4,7,103 St - Corona Plaza,103 ST-CORONA,7,7
707S,5,7,Junction Blvd,JUNCTION BLVD,7,7
708S,6,7,90 St - Elmhurst Av,90 ST-ELMHURST,7,7
709S,7,7,82 St - Jackson Hts,82 ST-JACKSON H,7,7
710S,8,7,74 St - Broadway,74 ST-BROADWAY,7EFMR,7
711S,9,7,69 St,69 ST,7,7
712S,10,7,Woodside - 61 St,61 ST WOODSIDE,7,7
713S,11,7,52 St,52 ST,7,7
714S,12,7,46 St - Bliss St,46 ST BLISS ST,7,7
715S,13,7,40 St - Lowery St,40 ST LOWERY ST,7,7
716S,14,7,33 St - Rawson St,33 ST-RAWSON ST,7,7
718S,15,7,Queensboro Plaza,QUEENSBORO PLZ,7NQW,7
719S,16,7,Court Sq,COURT SQ,7,7
720S,17,7,Hunters Point Av,HUNTERS PT AV,7,7
721S,18,7,Vernon Blvd - Jackson Av,VERNON-JACKSON,7,7
723S,19,7,Grand Central - 42 St,GRD CNTRL-42 ST,4567S,7
724S,20,7,5 Av,5 AVE,7BDFM,7
725S,21,7,Times Sq - 42 St,TIMES SQ-42 ST,1237ACENQRS,7
726S,22,7,34 St - Hudson Yds,34 ST-HUDSON YD,7,7
A02S,1,A,Inwood - 207 St,INWOOD-207 ST,A,A
A03S,2,A,Dyckman St,DYCKMAN ST,A,A
A05S,3,A,190 St,190 ST,A,A
A06S,4,A,181 St,181 ST,A,A
A07S,5,A,175 St,175 ST,A,A
A09S,6,A,168 St,168 ST,1AC,A
A12S,7,A,145 St,145 ST,ABCD,A
A15S,8,A,125 St,125 ST,ACBD,A
A24S,9,A,59 St - Columbus Circle,59 ST COLUMBUS,1ABCD,A
A27S,10,A,42 St - Port Authority Bus Terminal,42 ST-PORT AUTH,ACENGRS1237W,A
A28S,11,A,34 St - Penn Station,34 ST-PENN STA,123ACE,A
A31S,12,A,14 St,14 ST,ACEL,A
A32S,13,A,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,A
A34S,14,A,Canal St,CANAL ST,ACE,A
A36S,15,A,Chambers St,CHAMBERS ST,ACE23,A
A38S,16,A,Fulton St,FULTON ST,ACJZ2345,A
A40S,17,A,High St,HIGH ST,AC,A
A41S,18,A,Jay St - MetroTech,JAY ST-METROTEC,ACF,A
A42S,19,A,Hoyt - Schermerhorn Sts,HOYT-SCHER,ACG,A
A46S,20,A,Nostrand Av,NOSTRAND AV,AC,A
A48S,21,A,Utica Av,UTICA AV,AC,A
A51S,22,A,Broadway Jct,BROADWAY JCT,ACJLZ,A
A55S,23,A,Euclid Av,EUCLID AV,AC,A
A57S,24,A,Grant Av,GRANT AV,A,A
A59S,25,A,80 St,80 ST,A,A
A60S,26,A,88 St,88 ST,A,A
A61S,27,A,Rockaway Blvd,ROCKAWAY BLVD,A,A
A63S,28,A,104 St,104 ST,A,A
H02S,28,A,Aqueduct - N Conduit Av,AQUEDUCT N.COND,A,A
A64S,29,A,111 St,111 ST,A,A
H03S,29,A,Howard Beach - JFK Airport,HOWARD BCH JFK,A,A
A65S,30,A,Ozone Park - Lefferts Blvd,OZONE PK LEFFRT,A,A
H04S,30,A,Broad Channel,BROAD CHANNEL,AS,A
H06S,31,A,Beach 67 St,BEACH 67 ST,A,A
H07S,32,A,Beach 60 St,BEACH 60 ST,A,A
H08S,33,A,Beach 44 St,BEACH 44 ST,A,A
H09S,34,A,Beach 36 St,BEACH 36 ST,A,A
H10S,35,A,Beach 25 St,BEACH 25 ST,A,A
H11S,36,A,Far Rockaway - Mott Av,FAR ROCKAWAY,A,A
D13S,1,B,145 St,145 ST,ABCD,B
A14S,2,B,135 St,135 ST,BC,B
A15S,3,B,125 St,125 ST,ACBD,B
A16S,4,B,116 St,116 ST,BC,B
A17S,5,B,Cathedral Pkwy (110 St),CATHEDRAL PKWY,BC,B
A18S,6,B,103 St,103 ST,BC,B
A19S,7,B,96 St,96 ST,BC,B
A20S,8,B,86 St,86 ST,BC,B
A21S,9,B,81 St - Museum of Natural History,81 ST-MUSEUM,BC,B
A22S,10,B,72 St,72 ST,BC,B
A24S,11,B,59 St - Columbus Circle,59 ST COLUMBUS,1ABCD,B
D14S,12,B,7 Av,7 AV,BDE,B
D15S,13,B,47-50 Sts - Rockefeller Ctr,47-50 STS ROCK,BDFM,B
D16S,14,B,42 St - Bryant Pk,42 ST-BRYANT PK,BDFM7,B
D17S,15,B,34 St - Herald Sq,34 ST-HERALD SQ,BDFMNQRW,B
D20S,16,B,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,B
D21S,17,B,Broadway-Lafayette St,B'WAY-LAFAYETTE,BDFQ6,B
D22S,18,B,Grand St,GRAND ST,BD,B
R30S,19,B,DeKalb Av,DEKALB AV,BDNQR,B
D24S,20,B,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,B
D25S,21,B,7 Av,7 AV,BDE,B
D26S,22,B,Prospect Park,PROSPECT PARK,BQS,B
D28S,23,B,Church Av,CHURCH AV,BQ,B
D31S,24,B,Newkirk Plaza,NEWKIRK PLAZA,BQ,B
D35S,25,B,Kings Hwy,KINGS HWY,BQ,B
