stop_id,order,route_id,station,id,LINENAME,line
A42S,13,G,Hoyt - Schermerhorn Sts,HOYT-SCHER,ACG,G
F20S,14,G,Bergen St,BERGEN ST,FG,G
F21S,15,G,Carroll St,CARROLL ST,FG,G
F22S,16,G,Smith - 9 Sts,SMITH-9 ST,FG,G
F23S,17,G,4 Av - 9 St,4 AV-9 ST,DFGMNR,G
F23S,17,G,4 Av - 9 St,4AV-9 ST,DFGMNR,G
F24S,18,G,7 Av,7 AV,FG,G
F25S,19,G,15 St - Prospect Park,15 ST-PROSPECT,FG,G
F26S,20,G,Fort Hamilton Pkwy,FT HAMILTON PKY,FG,G
F27S,21,G,Church Av,CHURCH AV,FG,G
G05S,1,J,Jamaica Center - Parsons/Archer,JAMAICA CENTER,EJZ,J
G06S,2,J,Sutphin Blvd - Archer Av - JFK Airport,SUTPHIN-ARCHER,EJZ,J
J12S,3,J,121 St,121 ST,JZ,J
J13S,4,J,111 St,111 ST,J,J
J14S,5,J,104 St,104 ST,JZ,J
J15S,6,J,Woodhaven Blvd,WOODHAVEN BLVD,JZ,J
J16S,7,J,85 St - Forest Pkwy,85 ST-FOREST PK,J,J
J17S,8,J,75 St - Elder Ln,75 ST-ELDERTS,JZ,J
J19S,9,J,Cypress Hills,CYPRESS HILLS,J,J
J20S,10,J,Crescent St,CRESCENT ST,JZ,J
J21S,11,J,Norwood Av,NORWOOD AV,JZ,J
J22S,12,J,Cleveland St,CLEVELAND ST,J,J
J23S,13,J,Van Siclen Av,VAN SICLEN AV,JZ,J
J24S,14,J,Alabama Av,ALABAMA AV,J,J
J27S,15,J,Broadway Jct,BROADWAY JCT,ACJLZ,J
J28S,16,J,Chauncey St,CHAUNCEY ST,JZ,J
J29S,17,J,Halsey St,HALSEY ST,J,J
J30S,18,J,Gates Av,GATES AV,JZ,J
J31S,19,J,Kosciuszko St,KOSCIUSZKO ST,J,J
M11S,20,J,Myrtle Av,MYRTLE AV,JMZ,J
M12S,21,J,Flushing Av,FLUSHING AV,JM,J
M13S,22,J,Lorimer St,LORIMER ST,JM,J
M14S,23,J,Hewes St,HEWES ST,JM,J
M16S,24,J,Marcy Av,MARCY AV,JMZ,J
M18S,25,J,Delancy St - Essex St,DELANCEY/ESSEX,FJMZ,J
M19S,26,J,Bowery,BOWERY,JZ,J
M20S,27,J,Canal St,CANAL ST,JNQRZ6W,J
M21S,28,J,Chambers St,CHAMBERS ST,JZ456,J
M22S,29,J,Fulton St,FULTON ST,2345ACJZ,J
M23S,30,J,Broad St,BROAD ST,JZ,J
G08S,1,M,Forest Hills - 71 Av,FOREST HILLS 71,EFMR,M
G09S,2,M,67 Av,67 AV,MR,M
G10S,3,M,63 Dr - Rego Park,63 DR-REGO PARK,MR,M
G11S,4,M,Woodhaven Blvd,WOODHAVEN BLVD,MR,M
G12S,5,M,Grand Av - Newtown,GRAND-NEWTOWN,MR,M
G13S,6,M,Elmhurst Av,ELMHURST AV,MR,M
G14S,7,M,Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT,EFMR7,M
G15S,8,M,65 St,65 ST,MR,M
G16S,9,M,Northern Blvd,NORTHERN BLVD,MR,M
G18S,10,M,46 St,46 ST,MR,M
G19S,11,M,Steinway St,STEINWAY ST,MR,M
G20S,12,M,36 St,36 ST,MR,M
G21S,13,M,Queens Plaza,QUEENS PLAZA,EMR,M
F09S,14,M,Court Sq,COURT SQ-23 ST,EMG,M
F11S,15,M,Lexington Av/53 St,LEXINGTON AV/53,EM6,M
F12S,16,M,5 Av/53 St,5 AV/53 ST,EM,M
D15S,17,M,47-50 Sts - Rockefeller Ctr,47-50 STS ROCK,BDFM,M
D16S,18,M,42 St - Bryant Pk,42 ST-BRYANT PK,BDFM7,M
D17S,19,M,34 St - Herald Sq,34 ST-HERALD SQ,BDFMNQRW,M
D18S,20,M,23 St,23 ST,FM,M
D19S,21,M,14 St,14 ST,123FLM,M
D20S,22,M,W 4 St - Wash Sq,W 4 ST-WASH SQ,ABCDEFM,M
D21S,23,M,Broadway-Lafayette St,B'WAY-LAFAYETTE,BDFQ6,M
M18S,24,M,Delancy St - Essex St,DELANCEY/ESSEX,FJMZ,M
M16S,25,M,Marcy Av,MARCY AV,JMZ,M
M14S,26,M,Hewes St,HEWES ST,JM,M
M13S,27,M,Lorimer St,LORIMER ST,JM,M
M12S,28,M,Flushing Av,FLUSHING AV,JM,M
M11S,29,M,Myrtle Av,MYRTLE AV,JMZ,M
M10S,30,M,Central Av,CENTRAL AV,M,M
M09S,31,M,Knickerbocker Av,KNICKERBOCKER,M,M
M08S,32,M,Myrtle - Wyckoff Avs,MYRTLE-WYCKOFF,LM,M
M06S,33,M,Seneca Av,SENECA AVE,M,M
M05S,34,M,Forest Av,FOREST AVE,M,M
M04S,35,M,Fresh Pond Rd,FRESH POND RD,M,M
M01S,36,M,Middle Village - Metropolitan Av,METROPOLITAN AV,M,M
R01S,1,N,Astoria - Ditmars Blvd,ASTORIA DITMARS,NQW,N
R03S,2,N,Astoria Blvd,ASTORIA BLVD,NQW,N
R04S,3,N,30 Av,30 AV,NQW,N
R05S,4,N,Broadway,BROADWAY,NQW,N
R06S,5,N,36 Av,36 AV,NQW,N
R08S,6,N,39 Av - Dutch Kills,39 AV,NQW,N
R09S,7,N,Queensboro Plaza,QUEENSBORO PLZ,7NQW,N
R11S,8,N,Lexington Av/59 St,59 ST,456NQRW,N
R13S,9,N,5 Av/59 St,5 AV/59 ST,NQRW,N
R14S,10,N,57 St - 7 Av,57 ST-7 AV,NQRW,N
R15S,11,N,49 St,49 ST,NQRW,N
R16S,12,N,Times Sq - 42 St,TIMES SQ-42 ST,1237ACENQRSW,N
R17S,13,N,34 St - Herald Sq,34 ST-HERALD SQ,BDFMNQRW,N
R20S,14,N,14 St - Union Sq,14 ST-UNION SQ,456LNQRW,N
Q01S,15,N,Canal St,CANAL ST,JNQRZ6W,N
R31S,16,N,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,N
R36S,17,N,36 St,36 ST,DNR,N
R41S,18,N,59 St,59 ST,456NQRW,N
N02S,19,N,8 Av,8 AV,N,N
N03S,20,N,Fort Hamilton Pkwy,FT HAMILTON PKY,N,N
N04S,21,N,New Utrecht Av,NEW UTRECHT AV,ND,N
N05S,22,N,18 Av,18 AV,N,N
N06S,23,N,20 Av,20 AV,N,N
N07S,24,N,Bay Pkwy,BAY PKWY,N,N
N08S,25,N,Kings Hwy,KINGS HWY,N,N
N09S,26,N,Avenue U,AVENUE U,N,N
N10S,27,N,86 St,86 ST,N,N
D43S,28,N,Coney Island - Stillwell Av,CONEY IS-STILLW,DFNQ,N
Q05S,1,Q,96 St,96 ST-2 AVE,Q,Q
Q04S,2,Q,86 St,86 ST-2 AVE,Q,Q
Q03S,3,Q,72 St,72 ST-2 AVE,Q,Q
B08S,4,Q,Lexington Av/63 St,LEXINGTON AV/63,F,Q
R14S,5,Q,57 St - 7 Av,57 ST-7 AV,NQRW,Q
R16S,6,Q,Times Sq - 42 St,TIMES SQ-42 ST,1237ACENQRSW,Q
R17S,7,Q,34 St - Herald Sq,34 ST-HERALD SQ,BDFMNQRW,Q
R20S,8,Q,14 St - Union Sq,14 ST-UNION SQ,456LNQRW,Q
Q01S,9,Q,Canal St,CANAL ST,JNQRZ6W,Q
R30S,10,Q,DeKalb Av,DEKALB AV,BDNQR,Q
D24S,11,Q,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,Q
D25S,12,Q,7 Av,7 AV,BQ,Q
D26S,13,Q,Prospect Park,PROSPECT PARK,BQS,Q
D27S,14,Q,Parkside Av,PARKSIDE AV,BQ,Q
D28S,15,Q,Church Av,CHURCH AV,BQ,Q
D29S,16,Q,Beverley Rd,BEVERLEY ROAD,BQ,Q
D30S,17,Q,Cortelyou Rd,CORTELYOU RD,BQ,Q
D31S,18,Q,Newkirk Plaza,NEWKIRK PLAZA,BQ,Q
D32S,19,Q,Avenue H,AVENUE H,BQ,Q
D33S,20,Q,Avenue J,AVENUE J,BQ,Q
D34S,21,Q,Avenue M,AVENUE M,BQ,Q
D35S,22,Q,Kings Hwy,KINGS HWY,BQ,Q
D37S,23,Q,Avenue U,AVENUE U,BQ,Q
D38S,24,Q,Neck Rd,NECK RD,BQ,Q
D39S,25,Q,Sheepshead Bay,SHEEPSHEAD BAY,BQ,Q
D40S,26,Q,Brighton Beach,BRIGHTON BEACH,BQ,Q
D41S,27,Q,Ocean Pkwy,OCEAN PKWY,Q,Q
D42S,28,Q,W 8 St - NY Aquarium,W 8 ST-AQUARIUM,FQ,Q
D43S,29,Q,Coney Island - Stillwell Av,CONEY IS-STILLW,DFNQ,Q
G08S,1,R,Forest Hills - 71 Av,FOREST HILLS 71,EFMR,R
G09S,2,R,67 Av,67 AV,MR,R
G10S,3,R,63 Dr - Rego Park,63 DR-REGO PARK,MR,R
G11S,4,R,Woodhaven Blvd,WOODHAVEN BLVD,MR,R
G12S,5,R,Grand Av - Newtown,GRAND-NEWTOWN,MR,R
G13S,6,R,Elmhurst Av,ELMHURST AV,MR,R
G14S,7,R,Jackson Hts - Roosevelt Av,JKSN HT-ROOSVLT,EFMR7,R
G15S,8,R,65 St,65 ST,MR,R
G16S,9,R,Northern Blvd,NORTHERN BLVD,MR,R
G18S,10,R,46 St,46 ST,MR,R
G19S,11,R,Steinway St,STEINWAY ST,MR,R
G20S,12,R,36 St,36 ST,DNR,R
G21S,13,R,Queens Plaza,QUEENS PLAZA,EMR,R
R11S,14,R,Lexington Av/59 St,59 ST,456NQRW,R
R13S,15,R,5 Av/59 St,5 AV/59 ST,NQRW,R
R14S,16,R,57 St - 7 Av,57 ST-7 AV,NQRW,R
R15S,17,R,49 St,49 ST,NQRW,R
R16S,18,R,Times Sq - 42 St,TIMES SQ-42 ST,1237ACENQRSW,R
R17S,19,R,34 St - Herald Sq,34 ST-HERALD SQ,BDFMNQRW,R
R18S,20,R,28 St,28 ST,NRW,R
R19S,21,R,23 St,23 ST,NRW,R
R20S,22,R,14 St - Union Sq,14 ST-UNION SQ,456LNQRW,R
R21S,23,R,8 St - NYU,8 ST-NYU,NRW,R
R22S,24,R,Prince St,PRINCE ST,NRW,R
R23S,25,R,Canal St,CANAL ST,JNQRZ6W,R
R24S,26,R,City Hall,CITY HALL,NRW,R
R25S,27,R,Cortlandt St,CORTLANDT ST,RNW,R
R26S,28,R,Rector St,RECTOR ST,NRW,R
R27S,29,R,Whitehall St - South Ferry,WHITEHALL S-FRY,R1W,R
R28S,30,R,Court St,BOROUGH HALL,2345R,R
R29S,31,R,Jay St - MetroTech,JAY ST-METROTEC,R,R
R30S,32,R,DeKalb Av,DEKALB AV,BDNQR,R
R31S,33,R,Atlantic Av - Barclays Ctr,ATL AV-BARCLAY,2345BDNQR,R
R32S,34,R,Union St,UNION ST,R,R
R33S,35,R,4 Av - 9 St,4 AV-9 ST,DFGMNR,R
R34S,36,R,Prospect Av,PROSPECT AV,R,R
R35S,37,R,25 St,25 ST,R,R
R36S,38,R,36 St,36 ST,DNR,R
R39S,39,R,45 St,45 ST,R,R
R40S,40,R,53 St,53 ST,R,R
R41S,41,R,59 St,59 ST,456NQRW,R
R42S,42,R,Bay Ridge Av,BAY RIDGE AV,R,R
R43S,43,R,77 St,77 ST,R,R
R44S,44,R,86 St,86 ST,R,R
R45S,45,R,Bay Ridge - 95 St,BAY RIDGE-95 ST,R,R
R01S,1,W,Astoria - Ditmars Blvd,ASTORIA DITMARS,NQW,W
R03S,2,W,Astoria Blvd,ASTORIA BLVD,NQW,W
R04S,3,W,30 Av,30 AV,NQW,W
R05S,4,W,Broadway,BROADWAY,NQW,W
R06S,5,W,36 Av,36 AV,NQW,W
R08S,6,W,39 Av - Dutch Kills,39 AV,NQW,W
R09S,7,W,Queensboro Plaza,QUEENSBORO PLZ,7NQW,W
R11S,8,W,Lexington Av/59 St,59 ST,456NQRW,W
R13S,9,W,5 Av/59 St,5 AV/59 ST,NQRW,W
R14S,10,W,57 St - 7 Av,57 ST-7 AV,NQRW,W
R15S,11,W,49 St,49 ST,NQRW,W
R16S,12,W,Times Sq - 42 St,TIMES SQ-42 ST,1237ACENQRSW,W
R17S,13,W,34 St - Herald Sq,34 ST-HERALD SQ,BDFMNQRW,W
R18S,14,W,28 St,28 ST,NRW,W
R19S,15,W,23 St,23 ST,NRW,W
R20S,16,W,14 St - Union Sq,14 ST-UNION SQ,456LNQRW,W
R21S,17,W,8 St - NYU,8 ST-NYU,NRW,W
R22S,18,W,Prince St,PRINCE ST,NRW,W
R23S,19,W,Canal St,CANAL ST,JNQRZ6W,W
R24S,20,W,City Hall,CITY HALL,NRW,W
R25S,21,W,Cortlandt St,CORTLANDT ST,RNW,W
R26S,22,W,Rector St,RECTOR ST,NRW,W
R27S,23,W,Whitehall St - South Ferry,WHITEHALL S-FRY,R1W,W
G05S,1,Z,Jamaica Center - Parsons/Archer,JAMAICA CENTER,EJZ,Z
G06S,2,Z,Sutphin Blvd - Archer Av - JFK Airport,SUTPHIN-ARCHER,EJZ,Z
J12S,3,Z,121 St,121 ST,JZ,Z
J14S,4,Z,104 St,104 ST,JZ,Z
J15S,5,Z,Woodhaven Blvd,WOODHAVEN BLVD,JZ,Z
J17S,6,Z,75 St - Elder Ln,75 ST-ELDERTS,JZ,Z
J20S,7,Z,Crescent St,CRESCENT ST,JZ,Z
J21S,8,Z,Norwood Av,NORWOOD AV,JZ,Z
J23S,9,Z,Van Siclen Av,VAN SICLEN AV,JZ,Z
J24S,10,Z,Alabama Av,ALABAMA AV,J,Z
J27S,11,Z,Broadway Jct,BROADWAY JCT,ACJLZ,Z
J28S,12,Z,Chauncey St,CHAUNCEY ST,JZ,Z
J30S,13,Z,Gates Av,GATES AV,JZ,Z
M11S,14,Z,Myrtle Av,MYRTLE AV,JMZ,Z
M16S,15,Z,Marcy Av,MARCY AV,JMZ,Z
M18S,16,Z,Delancy St - Essex St,DELANCEY/ESSEX,FJMZ,Z
M19S,17,Z,Bowery,BOWERY,JZ,Z
M20S,18,Z,Canal St,CANAL ST,JNQRZ6W,Z
M21S,19,Z,Chambers St,CHAMBERS ST,JZ456,Z
M22S,20,Z,Fulton St,FULTON ST,2345ACJZ,Z
M23S,21,Z,Broad St,BROAD ST,JZ,Z
